subclass,instance,gender,age,publication_year
Criminal,Michelle_Kosilek,trans woman,75.0,2006.0
Artist,Mila_Jam,trans woman,35.0,2008.0
Youtuber,Miles_McKenna,trans man,29.0,2020.0
Politician,Millangoda_Raja,male organism,73.0,2011.0
Politician,Mina_Tolu,non-binary,33.0,2018.0
Artist,Mineko_Nomachi,trans woman,45.0,2020.0
Politician,Misty_Plowright,trans woman,42.0,2016.0
Politician,Misty_Snow,trans woman,39.0,2016.0
Artist,Montaigne_(musician),non-binary,29.0,2015.0
Artist,Moore_Kismet,non-binary,20.0,2021.0
MilitaryPerson,Mu'nis_al-Muzaffar,eunuch,89.0,2006.0
Model,Munroe_Bergdorf,trans woman,37.0,2017.0
Artist,Mya_Byrne,trans woman,46.0,2005.0
Artist,Mykki_Blanco,trans woman,38.0,2013.0
BeautyQueen,Myo_Ko_Ko_San,trans woman,30.0,2018.0
Model,Naaz_Joshi,trans woman,40.0,2019.0
Politician,Nadungamuwa_Raja,male organism,69.0,2014.0
Artist,Nakhane,non-binary,36.0,2019.0
Artist,Namoli_Brennet,trans woman,54.0,2007.0
Artist,Nana_Okada,non-binary,27.0,2015.0
Artist,Naomy_(Romanian_singer),trans woman,47.0,2016.0
MilitaryPerson,Narses,eunuch,90.0,2002.0
Politician,Natasha_Devon,cisgender woman,43.0,2016.0
Artist,Nathalie_Lawhead,non-binary,,2019.0
Model,Nathan_Westling,trans man,28.0,2014.0
Model,Nats_Getty,non-binary,32.0,2018.0
BeautyQueen,Negha_Shahin,trans woman,,2022.0
Politician,Nelson_(cat),male organism,,2021.0
Artist,Nesey_Gallons,trans woman,40.0,2009.0
Cleric,Nicetas_I_of_Constantinople,eunuch,,2007.0
Scientist,Nicholas_Tatonetti,non-binary,,2022.0
Artist,Nicole_Eisenman,genderfluid,59.0,2013.0
Artist,Nik_Thakkar,non-binary,41.0,2017.0
Youtuber,Nikita_Dragun,trans woman,28.0,2019.0
Athlete,Nikki_Hiltz,non-binary,30.0,2018.0
OfficeHolder,Nikki_Sinclaire,trans woman,56.0,2007.0
MilitaryPerson,Nils_Olav,male organism,52.0,2005.0
OfficeHolder,Niluka_Ekanayake,trans woman,,2016.0
Artist,Noah_Skaalum,trans man,29.0,2011.0
Artist,Nomi_Ruiz,trans woman,38.0,2010.0
Politician,Nyke_Slawik,trans woman,30.0,2021.0
Artist,Octo_Octa,trans woman,37.0,2017.0
Artist,Olek_(artist),non-binary,46.0,2008.0
Artist,Olive_Gray,non-binary,30.0,2007.0
Architect,Olivia_Chaumont,trans woman,74.0,2018.0
Artist,Our_Lady_J,non-binary,39.0,2014.0
Politician,Owen_Hurcum,non-binary,27.0,2021.0
Politician,Palmerston_(cat),male organism,10.0,2016.0
Athlete,Patricio_Manuel,trans man,39.0,2018.0
Artist,Patrick_Staff,non-binary,37.0,2020.0
Artist,Patrícia_Araújo,trans woman,42.0,2011.0
Philosopher,Paul_B._Preciado,trans man,54.0,2014.0
Athlete,Pedro_Spajari,intersex man,27.0,2019.0
Artist,Peppermint_(entertainer),trans woman,44.0,2013.0
Politician,Peta_(cat),female organism,17.0,2008.0
Politician,Peter_(chief_mouser),male organism,17.0,2018.0
Politician,Peter_III_(cat),male organism,17.0,2021.0
Politician,Peter_II_(cat),male organism,1.0,2018.0
Politician,Petra_De_Sutter,trans woman,61.0,2014.0
Politician,Phillipe_Cunningham,trans man,42.0,2017.0
Politician,Phyllis_Frye,trans woman,,2010.0
BeautyQueen,Phùng_Trương_Trân_Đài,trans woman,32.0,2021.0
Politician,Pigasus_(politics),male organism,56.0,2005.0
Artist,Planningtorock,non-binary,52.0,2011.0
Artist,Princess_Nokia,non-binary,32.0,2014.0
Artist,Puppies_Puppies,trans woman,35.0,2019.0
Athlete,Quinn_(soccer),non-binary,29.0,2014.0
Artist,Quinn_Marston,trans man,36.0,2011.0
Scientist,Rachael_Padman,trans woman,70.0,2014.0
Politician,Rachel_Levine,trans woman,67.0,2020.0
Cleric,Rachel_Mann,trans woman,54.0,2014.0
Model,Rain_Dove,non-binary,35.0,2018.0
Scientist,Rebecca_Oppenheimer,trans woman,52.0,2006.0
Politician,Rembrandt_(horse),male organism,24.0,2011.0
Athlete,Renée_Richards,trans woman,90.0,2005.0
Artist,Rhys_Nicholson,non-binary,34.0,2010.0
Athlete,Ricardo_del_Real,trans man,50.0,2019.0
Artist,Rinu,trans man,26.0,2020.0
Artist,River_Butcher,trans man,42.0,2016.0
Politician,Ro_Allen,genderfluid,,2018.0
